QQQ (INVESCO QQQ TRUST, SERIES 1),178.99,-0.04,
Jul 22 2018 @ 02:52 ET,Bid,178.98,Ask,178.99,Size,5x34,Vol,35907619,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Jul 20 125.00 (QQQ1820G125-4),37.40,0.0,53.37,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-4),0.07,0.0,0.0,0.52,0,817,
2018 Jul 20 125.00 (QQQ1820G125-8),48.12,0.0,52.09,55.84,0,19,2018 Jul 20 125.00 (QQQ1820S125-8),0.01,0.0,0.0,1.88,0,817,
2018 Jul 20 125.00 (QQQ1820G125-A),0.0,0.0,52.09,55.84,0,19,2018 Jul 20 125.00 (QQQ1820S125-A),0.47,0.0,0.0,1.88,0,817,
2018 Jul 20 125.00 (QQQ1820G125-B),41.34,0.0,51.54,56.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-B),0.70,0.0,0.0,2.13,0,817,
2018 Jul 20 125.00 (QQQ1820G125-E),48.08,0.0,52.09,55.84,0,19,2018 Jul 20 125.00 (QQQ1820S125-E),0.20,0.0,0.0,1.88,0,817,
2018 Jul 20 125.00 (QQQ1820G125-I),45.12,0.0,52.91,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-I),0.70,0.0,0.0,0.75,0,817,
2018 Jul 20 125.00 (QQQ1820G125-J),0.0,0.0,53.17,54.70,0,19,2018 Jul 20 125.00 (QQQ1820S125-J),0.70,0.0,0.0,0.52,0,817,
2018 Jul 20 125.00 (QQQ1820G125-K),0.0,0.0,51.56,56.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-K),0.70,0.0,0.0,5.00,0,817,
2018 Jul 20 125.00 (QQQ1820G125-O),48.75,0.0,53.37,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-O),0.02,0.0,0.0,0.31,0,817,
2018 Jul 20 125.00 (QQQ1820G125-OG),0.0,0.0,51.84,56.09,0,19,2018 Jul 20 125.00 (QQQ1820S125-OG),0.03,0.0,0.0,2.13,0,817,
2018 Jul 20 125.00 (QQQ1820G125-P),43.87,0.0,53.37,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-P),0.30,0.0,0.0,0.01,0,817,
2018 Jul 20 125.00 (QQQ1820G125-S),0.0,0.0,51.96,55.72,0,19,2018 Jul 20 125.00 (QQQ1820S125-S),0.70,0.0,0.0,1.88,0,817,
2018 Jul 20 125.00 (QQQ1820G125-X),46.85,0.0,53.37,54.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-X),0.04,0.0,0.0,0.51,0,817,
2018 Jul 20 125.00 (QQQ1820G125-Y),0.0,0.0,51.50,56.50,0,19,2018 Jul 20 125.00 (QQQ1820S125-Y),0.04,0.0,0.0,0.01,0,817,
2018 Jul 20 126.00 (QQQ1820G126),44.78,0.0,52.37,53.63,0,1,2018 Jul 20 126.00 (QQQ1820S126),0.01,0.0,0.0,0.01,0,498,
2018 Jul 20 126.00 (QQQ1820G126-3),0.0,0.0,52.37,53.63,0,1,2018 Jul 20 126.00 (QQQ1820S126-3),0.13,0.0,0.0,0.52,0,498,
2018 Jul 20 126.00 (QQQ1820G126-4),0.0,0.0,52.37,53.63,0,1,2018 Jul 20 126.00 (QQQ1820S126-4),0.0,0.0,0.0,0.52,0,498,
2018 Jul 20 126.00 (QQQ1820G126-8),0.0,0.0,51.09,54.84,0,1,2018 Jul 20 126.00 (QQQ1820S126-8),0.02,0.0,0.0,1.88,0,498,
2018 Jul 20 126.00 (QQQ1820G126-A),0.0,0.0,0.0,0.0,0,1,2018 Jul 20 126.00 (QQQ1820S126-A),0.12,0.0,0.0,1.88,0,498,
2018 Jul 20 126.00 (QQQ1820G126-B),0.0,0.0,50.54,55.50,0,1,2018 Jul 20 126.00 (QQQ1820S126-B),0.0,0.0,0.0,2.13,0,498,
2018 Jul 20 126.00 (QQQ1820G126-E),0.0,0.0,51.09,54.84,0,1,2018 Jul 20 126.00 (QQQ1820S126-E),0.11,0.0,0.0,1.88,0,498,
2018 Jul 20 126.00 (QQQ1820G126-I),0.0,0.0,52.22,53.63,0,1,2018 Jul 20 126.00 (QQQ1820S126-I),0.01,0.0,0.0,0.75,0,498,
2018 Jul 20 126.00 (QQQ1820G126-J),0.0,0.0,52.17,53.83,0,1,2018 Jul 20 126.00 (QQQ1820S126-J),0.0,0.0,0.0,0.52,0,498,
2018 Jul 20 126.00 (QQQ1820G126-K),0.0,0.0,50.54,55.50,0,1,2018 Jul 20 126.00 (QQQ1820S126-K),0.0,0.0,0.0,5.00,0,498,
2018 Jul 20 126.00 (QQQ1820G126-O),0.0,0.0,52.37,53.63,0,1,2018 Jul 20 126.00 (QQQ1820S126-O),0.05,0.0,0.0,0.31,0,498,
